SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,Garage,Floors,Windows,PreviousSalePrice,IsLuxury,HouseColor_Green,HouseColor_Red,HouseColor_White,HouseColor_Yellow,Price
550.0,1.548330817,4,542.59,52.78,4.54,11.52,11.65,95.0,1.35,1.83,6.12,4.88,0,1,1,9,128211.193,0,False,False,False,False,152006.1057
877.32,2.725773659,4,784.49,4.2,7.25,21.77,11.34,94.28,1.15,4.73,2.52,7.63,0,0,1,9,427085.5573,0,False,False,False,False,415232.6716
1941.44,1.605345786,4,28.23,39.35,6.62,3.18,6.73,98.42,1.18,2.76,7.37,5.51,1,1,1,11,445847.912,0,True,False,False,False,488321.9791
720.82,1.809550305,2,875.02,33.01,5.59,64.39,18.36,92.89,1.75,5.39,6.61,3.13,0,0,1,17,117689.5115,0,True,False,False,False,156581.1599
550.0,1.0,4,496.29,21.44,5.31,71.57,30.91,99.9,1.41,1.28,0.86,3.62,1,0,2,33,164582.939,1,False,False,False,False,247646.9723
736.19,2.515885745,3,293.57,40.65,7.38,33.03,13.34,93.26,1.28,7.19,7.18,5.67,0,0,1,15,234078.0554,1,True,False,False,False,358729.7227
1176.34,3.44890261,2,916.2,2.57,8.56,42.31,16.69,96.33,1.43,6.87,1.27,2.55,0,0,1,23,192954.2589,1,False,False,False,False,292801.6032
1002.01,1.940273697,4,755.42,19.42,6.24,60.79,5.38,95.83,1.99,1.75,5.28,4.98,0,0,1,11,242087.3562,0,False,False,False,False,216365.0686
550.0,1.097832252,4,1036.89,50.91,6.59,39.87,14.83,86.54,1.66,6.0,10.0,5.95,0,0,2,17,145070.5257,1,False,False,False,True,261716.701
822.88,2.905076681,1,99.71,57.6,7.55,20.16,12.25,90.68,1.98,4.66,8.33,8.23,0,0,1,13,158326.2082,0,False,True,False,False,190205.9094
550.0,1.682336391,4,508.69,6.92,7.23,11.45,6.85,94.06,2.11,2.23,10.0,7.9,1,1,1,6,158057.8145,0,True,False,False,False,205578.4196
671.5,1.889336923,3,481.64,52.18,10.0,55.23,15.78,99.9,0.51,4.44,8.14,6.65,0,0,1,24,111106.3921,0,True,False,False,False,161529.1313
738.18,1.136439482,3,515.33,59.06,5.23,77.13,1.68,92.55,1.49,6.59,5.72,6.12,0,1,1,14,173964.3149,0,False,False,True,False,244045.5199
550.0,1.0,2,549.99,42.22,6.28,72.57,20.89,89.07,2.57,4.23,3.91,5.08,1,1,1,11,150821.7656,0,False,True,False,False,195361.7896
682.34,2.24270723,3,232.87,40.19,8.64,71.93,34.12,89.72,2.09,2.93,4.98,5.02,0,0,1,1,88156.55533,0,False,False,False,True,163072.4876
661.87,3.467670295,4,752.58,44.14,4.69,26.02,17.95,98.94,0.45,5.14,10.0,9.21,0,0,1,18,379490.2825,1,False,False,False,True,354263.9805
1148.42,1.155008493,2,411.71,7.21,2.47,25.25,15.32,96.28,1.6,4.42,8.77,7.01,1,1,2,33,35075.44666,0,False,False,True,False,132210.7474
1307.18,3.253983846,3,149.03,41.85,6.41,17.04,29.95,97.78,1.74,5.39,5.11,7.21,1,0,1,11,404923.0272,0,False,False,True,False,338380.9694
1486.55,1.430571518,4,781.75,25.92,8.14,87.25,5.74,95.18,1.86,6.45,6.84,6.84,0,0,1,15,377296.2196,0,False,False,False,False,435899.0208
1320.57,2.197676665,3,916.17,28.32,5.92,90.86,12.79,90.49,2.31,7.96,10.0,10.0,0,0,1,19,363994.8413,1,False,False,True,False,480474.4537
1438.23,4.013147031,3,1565.91,1.28,7.86,46.08,19.48,99.09,1.13,9.72,10.0,10.0,0,0,1,12,368304.0356,0,True,False,False,False,256751.1774
550.0,1.359995531,3,467.52,40.7,7.82,23.37,6.58,98.99,1.66,6.34,7.84,10.0,0,0,1,14,187715.6386,0,False,False,True,False,233342.2854
804.0,3.209931812,2,85.31,2.7,6.19,4.94,3.68,96.17,1.5,6.2,9.67,5.61,0,1,1,14,361865.046,1,False,False,False,True,411081.4324
992.01,1.0,3,491.68,34.03,5.61,77.53,18.6,94.58,1.61,5.34,8.32,8.83,0,1,1,13,131980.1464,0,False,False,False,True,201297.8057
1112.78,1.111367845,3,716.84,16.22,6.27,32.97,20.37,94.56,1.23,5.13,6.55,8.67,0,1,1,9,262373.286,0,False,True,False,False,203620.63
1317.59,1.0,4,848.9,41.79,8.97,25.82,18.88,99.15,1.93,9.11,5.48,4.39,0,1,2,18,411015.509,1,True,False,False,False,376670.0437
1418.84,1.13741624,3,310.79,29.19,5.99,46.61,11.34,99.9,0.59,4.76,7.66,7.81,1,0,1,20,307872.0789,1,False,False,True,False,394669.1087
1195.55,1.0,3,445.23,29.9,5.17,76.24,27.14,94.45,1.58,3.19,10.0,9.44,0,1,1,10,224252.2063,0,False,False,False,True,200794.2658
550.0,1.558136429,3,438.7,0.47,7.3,30.85,29.77,99.9,1.16,3.81,6.18,4.82,0,0,1,19,57139.69919,1,False,False,True,False,156383.6703
1010.28,1.621509322,4,158.03,54.34,8.51,105.2,11.48,97.41,1.82,6.96,5.51,7.36,0,0,1,24,301575.4544,0,False,False,False,False,229985.76
935.63,1.215549464,2,459.38,32.05,5.32,79.18,24.15,99.9,1.98,3.85,8.67,7.05,0,1,1,4,102584.3317,0,False,True,False,False,180913.36
550.0,2.273355921,3,355.38,28.12,4.45,104.93,33.43,91.17,2.77,3.2,2.73,5.03,0,1,1,12,18234.42703,0,True,False,False,False,96016.41834
1026.67,2.537077068,4,273.07,53.39,5.62,2.55,26.14,95.46,1.51,5.9,3.64,5.56,0,0,1,31,344233.8279,1,False,False,False,False,411991.4629
1489.29,3.347582506,3,489.36,21.6,7.43,40.28,6.9,99.9,0.71,7.17,2.6,4.8,0,1,1,11,574896.4722,1,False,True,False,False,407852.18
2027.73,2.00030168,4,468.29,0.98,6.94,46.27,30.58,90.72,1.9,5.34,8.98,9.33,0,0,2,41,417510.9901,1,False,False,False,False,305869.2898
940.83,2.836441186,4,537.0,28.29,6.99,90.2,32.42,92.31,1.76,4.47,10.0,8.85,0,0,1,21,600192.3138,1,False,True,False,False,547127.7194
584.48,1.0,2,65.1,41.86,6.59,156.81,35.69,89.36,1.83,3.86,4.28,4.25,0,1,1,18,123991.2309,0,False,False,False,False,178942.3661
661.77,2.063073535,2,42.18,21.61,6.15,29.35,35.1,95.41,1.64,5.55,6.24,6.6,0,0,1,18,190376.8498,0,False,False,True,False,232581.0797
550.0,1.0,3,1004.72,31.04,6.58,59.59,5.88,90.17,1.34,2.74,8.6,6.44,0,0,1,18,123472.3321,0,False,False,False,False,146992.1027
2161.12,4.423193106,2,169.74,31.7,8.22,84.31,17.59,98.35,1.4,8.37,1.02,6.37,1,0,1,10,840823.6485,1,False,False,False,True,764946.4291
1237.24,1.478187067,3,424.39,22.88,9.35,68.02,13.49,95.79,2.11,4.29,6.97,4.4,0,0,2,26,242799.3579,1,False,False,False,True,330299.8118
1078.68,1.0,3,318.63,46.54,5.5,46.9,14.24,91.13,1.6,3.98,2.51,6.58,0,1,1,16,123213.8792,0,False,True,False,False,177035.7517
1029.78,2.484251175,4,344.32,5.79,7.96,59.03,8.89,89.6,2.16,6.94,10.0,7.14,1,0,1,8,319425.6758,1,False,False,False,True,478765.379
1575.64,3.693667295,4,725.74,39.77,6.93,40.22,5.91,93.26,1.49,6.81,6.49,8.92,1,0,1,11,536960.2425,1,False,False,False,True,792610.5784
821.43,3.767153873,3,800.0,21.32,8.24,35.88,1.93,91.06,1.68,4.44,8.25,6.53,0,0,1,9,370102.5654,1,False,False,False,True,554555.2712
1590.06,1.294917961,4,422.69,19.03,8.56,6.35,3.05,86.64,0.3,5.2,10.0,8.35,1,1,1,18,336966.6752,0,False,False,False,False,275313.1724
1980.79,3.440688952,3,880.1,20.51,8.36,5.58,7.72,99.9,1.25,8.78,9.79,10.0,1,1,2,51,595335.3288,1,False,False,False,False,489551.5899
834.77,1.815115957,4,655.14,10.11,9.2,6.51,21.97,97.0,1.83,6.13,7.42,8.04,1,1,1,13,354325.7885,1,False,True,False,False,482513.0285
576.38,1.484417754,4,935.22,30.12,8.06,110.8,22.07,99.9,1.96,5.28,3.41,6.11,0,0,1,20,139512.7568,0,False,False,False,False,202859.6837
550.0,1.0,1,46.35,60.39,0.62,68.14,4.33,91.45,2.43,0.11,6.78,7.23,0,0,1,16,269887.9081,0,True,False,False,False,256411.2358
550.0,1.0,3,266.9,20.45,7.07,15.94,13.91,96.25,1.65,4.67,5.96,5.56,0,0,1,17,170968.988,0,False,False,True,False,183397.9195
1261.69,2.181176079,3,440.8,11.54,8.3,7.6,8.31,98.66,1.7,6.5,4.01,5.97,0,0,2,37,411441.7621,1,True,False,False,False,225891.6674
1521.66,1.0,4,364.8,31.69,3.93,42.24,30.23,90.42,0.48,1.76,1.09,5.72,0,1,1,17,292060.6198,0,False,False,False,False,314209.3173
550.0,3.599558832,3,337.9,60.47,9.6,69.62,16.41,91.81,1.62,3.73,6.85,7.01,0,1,2,11,303008.2914,1,False,False,False,True,330090.5606
742.07,1.0,3,865.78,43.01,4.24,61.23,50.05,96.97,1.62,2.85,7.17,5.56,0,1,1,14,26011.84819,0,True,False,False,False,147724.0952
653.9,2.362799304,2,154.81,40.31,3.6,76.2,30.63,95.77,1.37,3.7,1.73,0.71,0,0,1,10,22080.91142,0,True,False,False,False,100313.3241
1606.97,1.253391181,4,554.71,61.24,10.0,27.01,0.53,94.33,1.44,6.76,10.0,5.39,1,1,1,14,454518.8196,1,False,True,False,False,547065.5475
550.0,3.598538832,2,559.69,19.08,6.45,66.33,11.86,92.68,1.68,4.09,4.77,5.42,1,0,1,10,112398.2367,0,False,True,False,False,168127.408
1014.03,2.128532669,3,396.61,47.7,10.0,73.66,9.11,95.51,1.9,4.06,5.38,2.52,0,1,1,12,213219.0172,0,False,False,True,False,224359.4159
1207.93,1.0,4,449.39,3.65,7.59,54.12,16.04,94.95,1.66,4.44,5.38,4.89,1,1,2,35,400353.0931,1,False,False,False,True,565338.9769
1226.59,2.047566352,2,900.44,5.32,7.48,12.87,20.06,98.24,1.0,6.33,8.28,4.47,0,0,1,9,130453.5625,0,False,True,False,False,165863.1355
550.0,2.916843211,5,687.77,48.87,8.02,64.67,4.74,96.07,1.01,6.47,7.2,7.33,0,1,1,10,449834.0884,1,False,False,True,False,455322.6958
731.37,3.080544128,5,356.93,32.57,6.06,30.85,20.15,88.54,1.66,3.72,1.24,3.43,0,1,1,15,381233.1808,1,False,False,False,True,399822.7895
550.0,1.107970784,5,244.84,44.41,9.15,42.51,9.59,87.68,2.05,7.13,0.42,2.25,0,1,1,26,68329.73167,0,False,False,False,False,133765.0137
583.5,1.0,2,821.47,67.66,3.71,90.24,33.41,92.46,1.15,3.11,6.07,4.59,0,1,1,11,61585.24437,0,False,False,False,True,181831.7142
1037.41,1.0,3,76.03,64.7,6.22,21.47,0.8,85.54,1.92,5.27,7.35,6.84,0,0,2,48,177525.0386,1,False,True,False,False,216374.8129
641.56,2.468336933,3,515.97,22.57,7.85,24.86,43.79,99.9,1.31,3.18,5.82,4.37,1,0,1,19,316166.1518,0,False,False,False,False,223352.04
873.9,1.853306629,3,232.09,41.15,4.96,56.28,37.71,87.92,2.37,1.52,1.66,2.65,0,0,1,19,134559.8973,0,False,False,False,False,245104.5692
1868.71,1.778267553,3,974.79,34.01,6.11,109.51,18.73,96.61,1.62,5.51,6.27,9.37,0,0,1,12,424277.6789,1,True,False,False,False,430258.7998
1075.91,2.778943002,4,27.67,21.66,7.35,47.1,30.38,96.9,1.2,7.23,0.74,3.15,0,1,1,14,362237.0044,1,False,False,False,True,413163.3197
1436.65,3.004514033,3,826.36,22.42,8.05,36.77,25.17,95.08,1.5,8.52,5.24,6.87,0,0,1,9,602536.9238,1,True,False,False,False,526160.6607
550.0,1.764795563,2,466.65,37.82,8.45,49.93,10.74,89.99,1.49,4.31,7.6,9.01,0,1,2,20,61734.36852,0,False,False,False,True,164865.2856
985.17,1.010491793,2,1033.66,40.12,5.15,51.07,3.45,92.75,1.39,3.2,5.65,5.61,0,0,1,14,35235.58648,0,False,False,True,False,130765.982
1622.48,1.0,3,968.39,18.41,4.57,31.52,0.92,91.53,1.17,6.15,5.19,8.28,0,0,1,4,206086.0935,0,False,True,False,False,205873.8798
1214.95,2.556351504,4,343.64,12.32,9.88,39.58,10.74,99.9,2.08,7.13,9.86,9.0,0,0,1,20,398482.9534,0,False,False,True,False,252802.4056
595.93,1.463754412,2,337.24,53.86,3.47,64.66,12.68,90.4,1.91,2.36,1.17,4.49,0,0,1,10,41148.38872,0,False,False,False,False,118533.4498
550.0,3.042368646,4,240.37,44.36,5.44,0.76,30.79,87.81,1.39,2.41,4.4,4.9,0,1,1,9,298070.1418,0,False,False,True,False,259413.6359
550.0,1.900538373,3,93.26,7.27,5.83,3.29,6.35,99.9,1.25,3.37,7.12,8.19,1,1,1,10,242795.8395,0,False,False,False,False,235726.9397
684.47,3.076438976,3,801.58,12.23,8.62,26.23,28.47,94.7,2.03,5.3,2.98,5.24,0,0,1,18,200173.7523,1,False,False,False,True,371386.4164
765.15,1.0,4,469.24,15.01,5.46,59.63,9.69,87.16,1.82,4.3,4.75,3.77,0,0,1,7,120806.3775,0,False,False,True,False,197930.0233
1355.66,4.092086614,1,213.57,38.9,4.07,64.93,18.11,91.99,1.26,4.17,7.49,4.32,0,0,1,11,90486.23136,0,False,True,False,False,161135.927
1063.7,2.460016675,4,68.76,40.27,6.4,65.42,13.32,90.14,0.85,3.26,3.2,4.94,0,0,1,14,262470.7281,0,True,False,False,False,240514.5897
1165.23,3.529198117,4,494.61,36.77,10.0,29.1,17.26,99.9,1.42,5.89,1.47,5.5,0,0,2,16,438372.7294,1,False,False,False,True,574448.2788
562.94,1.0,3,494.66,64.36,4.9,99.9,27.81,96.4,1.13,3.94,7.33,3.55,1,0,2,13,11182.88146,0,False,False,False,False,112495.9077
958.57,3.138680638,3,387.23,6.1,9.3,91.54,9.87,83.68,0.99,3.57,3.64,1.93,0,0,1,22,300279.2569,1,False,True,False,False,309935.7079
675.02,3.543320984,4,218.21,53.63,10.0,8.42,0.51,98.41,0.47,5.87,9.82,7.4,1,0,1,16,319655.0349,1,False,False,False,True,387216.5626
550.0,2.032352142,3,557.19,24.73,6.45,73.11,10.43,94.89,1.14,2.79,8.63,8.98,1,0,2,61,106672.0083,0,True,False,False,False,129375.8222
740.51,1.47468566,2,406.72,25.98,4.84,73.79,8.44,94.6,1.42,4.12,7.24,8.78,0,1,1,14,234556.6761,0,False,False,False,False,203691.3864
795.54,1.559321969,4,446.84,27.53,9.54,48.88,0.76,88.26,1.12,6.24,4.31,7.24,0,0,1,13,289854.3112,1,False,False,True,False,285727.0871
1379.3,3.493259408,3,290.12,3.39,8.2,9.22,4.97,89.9,1.5,5.75,5.04,5.37,0,1,1,9,431115.9579,1,True,False,False,False,371188.7216
934.62,2.692480129,4,474.59,20.06,9.68,71.16,10.88,92.46,1.27,5.27,7.01,6.28,1,0,1,18,263479.7325,1,True,False,False,False,399436.5842
1486.63,2.794933919,4,1054.01,21.19,3.98,29.77,4.57,91.73,1.58,4.8,4.03,5.16,1,0,1,13,437086.2111,1,False,True,False,False,324337.8834
2063.7,2.505643193,3,686.76,81.49,3.7,83.97,46.16,89.97,2.18,5.46,3.83,6.5,0,1,1,14,529380.1624,1,False,False,True,False,336701.9686
964.34,2.484613014,4,838.74,13.41,7.19,10.33,10.05,94.03,1.93,7.87,6.41,8.51,1,0,1,10,699737.3859,0,False,False,False,False,462670.0166
1384.88,1.0,3,486.84,17.87,7.3,92.69,12.6,97.79,2.05,8.35,6.41,8.06,1,0,1,19,250688.8758,1,False,False,True,False,390638.4666
550.0,3.299912328,4,823.43,24.37,7.9,62.08,28.0,90.15,2.44,5.2,6.37,6.72,1,0,1,22,312016.1309,1,False,False,False,False,283519.0624
1284.7,2.737646817,2,453.26,28.69,6.55,45.37,11.43,96.58,0.8,1.66,4.48,2.94,0,1,1,18,479977.5765,1,False,False,False,False,288106.0885
1511.89,3.997280246,3,361.83,20.86,8.16,16.69,12.15,93.86,0.26,6.21,7.91,8.81,0,0,1,23,559738.4815,1,False,False,False,True,618110.2488
993.36,3.085294041,2,276.53,37.0,7.25,12.7,11.92,93.03,1.01,5.56,5.86,6.23,0,0,1,25,232577.4135,0,False,False,False,False,197654.435
728.24,2.857099263,3,616.13,41.13,3.91,12.34,16.42,86.29,1.06,4.18,8.24,4.23,0,0,1,16,176247.1038,0,False,True,False,False,249996.7756
1126.79,3.106802977,4,357.44,74.35,8.34,13.98,27.98,97.86,1.32,1.98,4.74,4.28,0,0,1,13,380483.85,0,False,False,True,False,247195.713
1250.06,2.43829604,2,536.38,17.66,5.36,99.15,18.13,89.97,1.94,4.14,8.98,8.54,1,1,1,3,224368.8809,1,False,True,False,False,371325.8584
1808.71,5.533968579,1,604.75,20.24,9.5,43.87,5.86,88.91,1.81,7.24,4.69,6.45,0,0,1,11,440594.7677,1,False,True,False,False,395108.6609
760.77,3.255048964,3,179.59,8.09,4.99,32.81,4.34,86.84,1.82,5.17,3.61,6.7,1,0,1,29,256783.6554,0,False,False,False,True,220321.5049
718.07,2.037340471,5,138.05,43.1,10.0,70.62,4.7,90.5,1.71,6.29,8.46,10.0,1,0,1,17,456256.2818,1,False,False,False,True,301642.0436
550.0,3.818378675,2,185.8,18.59,8.56,75.0,23.3,94.46,0.56,3.34,6.18,3.82,1,1,1,15,181354.0317,0,False,True,False,False,214792.7871
873.35,1.0,2,422.64,51.86,4.49,54.69,28.58,99.9,1.45,1.99,3.83,5.79,0,1,1,10,38146.02878,0,False,False,False,False,138310.3571
877.75,2.997011329,2,933.82,20.51,9.49,61.71,15.41,95.12,1.0,5.23,8.35,5.77,0,0,1,10,181749.0237,0,True,False,False,False,331024.3962
550.0,1.441232582,2,154.05,4.63,4.52,55.35,5.53,90.24,1.52,5.36,6.4,5.77,0,1,1,20,171268.9436,0,False,False,False,False,174594.5713
1185.79,2.14321221,2,299.17,7.32,7.34,37.32,14.17,99.9,1.44,3.12,6.29,5.84,0,0,1,8,72644.83547,0,False,True,False,False,151889.2561
1594.79,2.863262762,3,423.56,36.53,7.07,44.55,4.78,96.85,1.44,7.09,9.31,8.36,0,0,1,23,461922.6215,0,False,False,False,True,611335.534
955.53,2.08740135,4,551.57,40.47,8.2,129.1,15.78,99.9,1.61,4.91,7.27,2.14,0,0,1,10,337922.5119,1,False,True,False,False,214925.2506
1366.75,1.636643736,2,508.03,43.02,8.29,106.8,12.3,95.99,1.01,4.77,8.81,7.96,0,0,1,13,193442.7943,0,False,False,False,False,260667.3151
550.0,1.21683801,3,552.97,34.33,3.88,108.02,20.75,89.01,2.01,0.19,5.35,7.92,0,0,1,14,64132.908,0,False,False,False,False,172399.9853
1740.34,2.080995385,4,831.82,19.57,6.06,60.25,9.19,99.9,0.76,8.31,6.78,5.63,0,1,1,16,506570.1743,1,False,False,False,False,716433.5331
1162.05,2.445760291,4,331.68,10.46,7.3,64.36,14.26,95.52,1.48,5.57,3.83,4.7,1,0,1,23,224224.9161,1,False,False,False,True,334043.8965
1119.76,1.658322355,1,140.58,30.45,6.92,48.45,38.77,99.9,0.57,5.18,5.45,4.78,0,0,1,20,120733.9275,1,False,False,False,False,139434.7349
878.12,1.0,2,204.15,62.45,5.75,66.76,35.38,92.27,2.05,2.67,0.19,1.97,0,1,1,19,18217.6246,0,False,False,True,False,98839.17831
1032.22,1.0,4,48.87,3.49,8.48,75.69,25.44,93.82,2.08,3.78,3.98,6.24,0,0,1,18,307160.8227,1,False,False,False,False,337620.1849
550.0,2.73432654,3,769.96,46.43,6.41,20.05,12.85,86.24,0.73,3.84,6.04,8.04,0,0,1,30,197148.4491,0,False,False,True,False,187483.5506
550.0,1.459498305,2,956.66,28.22,4.92,18.07,1.2,99.9,1.99,1.41,6.3,7.12,0,0,1,20,146499.1281,0,False,True,False,False,181909.8306
768.34,2.231898071,3,437.5,15.44,8.57,58.24,24.53,95.89,2.0,6.79,8.78,7.04,0,0,1,11,424877.3385,0,False,False,False,True,269009.5188
1169.3,1.654690252,5,376.64,53.9,5.73,21.16,10.44,99.9,1.96,3.63,5.84,4.31,0,0,1,19,604883.8945,1,False,True,False,False,494047.2404
550.0,3.633748742,3,285.58,33.56,5.16,0.2,28.01,99.79,0.99,3.05,8.1,8.41,0,0,1,14,271324.9181,1,False,False,False,True,354094.8412
1224.48,1.77555475,3,675.1,18.18,6.59,34.3,24.85,87.14,1.83,6.36,7.93,7.78,0,0,1,8,428746.7501,1,False,True,False,False,422939.493
573.23,2.596791004,2,111.84,60.39,7.2,60.67,30.56,99.9,0.9,4.07,5.0,3.99,1,1,1,22,20920.30875,1,False,False,True,False,112541.3418
1942.55,1.158213458,3,1089.4,23.0,5.33,23.49,3.66,89.5,1.65,6.71,7.76,4.28,0,0,1,20,389481.1421,1,False,False,True,False,266314.2278
1280.29,2.027368263,4,504.68,13.82,9.73,2.48,1.39,97.76,2.16,6.81,0.15,4.52,0,1,2,24,290950.0566,0,False,False,False,False,216105.8736
1225.68,1.857548259,2,277.91,50.76,7.72,126.53,4.78,94.75,0.92,2.79,3.71,4.63,0,0,1,26,104629.9954,0,False,False,True,False,143197.3936
1035.55,1.944969623,6,187.9,74.41,10.0,57.28,15.3,93.69,1.32,4.12,1.54,6.17,0,0,1,3,311799.2526,1,False,False,False,False,436153.2994
738.56,1.935606666,3,493.17,9.32,6.36,34.11,24.19,98.25,2.1,5.69,9.38,5.77,0,0,1,5,193268.1435,1,False,True,False,False,313945.7134
632.37,2.315761564,3,804.15,38.96,6.82,19.22,22.32,99.9,1.0,3.03,3.23,4.84,0,0,1,18,249761.8952,0,True,False,False,False,236275.3324
1638.91,1.47430386,4,831.23,9.47,7.55,69.93,17.6,99.9,0.91,4.46,6.61,5.31,0,0,1,12,415917.9034,1,False,False,False,False,381219.9857
680.25,3.186417891,3,532.37,47.98,7.36,70.65,14.77,97.11,2.43,4.2,5.13,6.83,0,1,1,12,234284.394,1,False,True,False,False,380064.2378
877.95,3.125308917,2,1109.06,17.89,5.62,9.58,17.3,95.34,1.68,5.44,9.26,5.0,0,1,1,19,339933.2549,1,False,False,False,False,369969.2973
1366.81,2.751702913,4,659.3,34.34,10.0,48.41,7.74,93.95,0.44,8.23,10.0,5.59,0,0,2,33,453825.9985,1,False,False,False,True,445058.7417
1346.49,1.694774126,3,458.14,23.97,10.0,23.66,12.38,93.63,2.11,5.9,2.68,2.99,0,1,2,38,389183.5316,1,False,True,False,False,533177.8282
981.93,1.0,2,606.82,44.51,7.24,59.57,30.89,98.1,2.08,3.84,1.58,3.3,0,0,1,0,51202.84371,0,False,False,False,False,115818.4461
890.0,2.244007695,5,235.71,64.25,10.0,26.18,6.05,92.34,0.16,5.54,9.88,9.35,1,0,1,16,626800.4435,1,True,False,False,False,446114.0807
1565.14,1.663859034,4,888.22,32.79,6.22,45.14,10.23,90.69,1.18,8.1,5.27,3.97,0,0,1,11,575304.8732,1,False,True,False,False,594199.6817
1450.43,1.0,2,892.14,25.04,6.95,2.39,9.53,96.16,1.28,5.12,2.1,4.41,0,0,1,21,148084.1292,0,False,False,False,True,195341.3991
550.0,1.0,3,653.54,10.2,5.39,21.27,2.56,98.15,1.14,3.01,6.15,8.03,0,0,1,18,43750.83406,0,False,False,False,False,130851.447
864.67,4.152436056,2,893.85,50.87,6.23,40.38,18.33,99.9,0.93,4.25,4.59,5.08,1,1,1,14,195383.4664,0,False,False,False,True,190524.11
556.22,1.0,4,233.88,48.64,9.33,42.32,13.08,98.9,0.86,3.74,7.04,6.63,0,1,1,14,181098.2394,0,False,False,False,False,197318.2591
1591.28,1.0,4,385.6,4.39,8.23,0.99,5.44,98.32,1.69,7.04,10.0,5.46,1,1,2,27,321242.6321,1,False,True,False,False,323008.4069
1158.05,4.547283128,4,389.98,1.71,10.0,9.35,1.34,95.61,0.41,5.84,3.05,7.69,0,0,1,24,608368.4738,1,False,False,True,False,483438.0362
1572.26,1.89491492,2,904.34,16.94,4.45,45.31,28.72,92.36,1.88,8.58,5.21,8.05,0,1,1,10,225272.2771,0,True,False,False,False,229454.0694
904.42,1.063157929,3,334.34,30.02,5.32,59.97,20.21,86.83,1.33,5.5,3.7,8.75,0,0,1,7,109717.6017,0,False,False,False,True,207601.5597
550.0,1.0,2,474.12,60.17,3.21,104.94,7.05,93.15,1.71,1.35,2.28,0.76,1,0,1,20,232659.8746,1,False,False,True,False,355056.4582
1075.51,2.721459812,3,243.85,22.7,8.54,44.48,0.79,96.6,1.68,4.78,6.47,8.22,1,1,1,14,196519.0927,0,True,False,False,False,324655.1221
1540.47,1.0,4,905.76,20.62,10.0,46.68,20.68,99.9,1.43,9.57,9.82,6.66,1,0,2,40,371490.9475,1,False,True,False,False,451813.1003
550.0,1.911317526,3,333.86,43.69,5.56,60.0,2.22,99.9,1.48,3.37,6.39,8.43,0,1,1,13,282402.8688,1,False,False,True,False,324845.1451
731.76,1.685001997,3,253.21,21.06,7.16,22.77,31.53,99.9,0.87,5.19,9.05,5.2,0,1,1,16,60591.92346,0,False,False,False,False,149941.6077
550.0,2.35642116,3,708.09,41.43,5.86,26.78,21.53,94.88,1.53,3.92,6.14,1.43,0,0,1,11,131293.0955,0,False,False,True,False,232339.2558
829.55,2.013780576,4,467.36,55.87,9.02,67.09,7.71,99.9,2.19,4.85,4.84,5.77,1,0,1,14,237371.4732,0,True,False,False,False,266749.8707
565.46,2.443164133,5,207.62,30.3,8.15,96.94,2.29,99.9,1.2,7.78,6.09,5.71,0,0,1,16,786386.1217,1,False,False,False,False,467961.8684
550.0,1.0,3,144.77,54.85,2.45,92.21,8.68,97.16,1.9,5.9,0.86,0.19,0,1,1,13,28489.09968,0,True,False,False,False,110549.6391
550.0,1.0,4,914.8,46.21,5.99,22.75,49.52,96.71,0.5,4.14,9.59,5.87,0,0,1,29,63264.34589,0,False,False,False,False,142609.1818
1244.05,1.0,3,474.75,23.75,6.48,50.35,10.24,90.92,1.67,3.81,7.93,8.12,1,1,1,20,58549.71219,0,False,True,False,False,182179.1184
847.5,1.768158493,3,450.23,26.28,8.92,32.08,5.01,94.68,0.75,3.17,7.75,8.01,1,0,1,17,195844.2193,0,False,False,False,True,226085.6429
1937.36,4.341117563,1,471.75,33.14,7.5,34.71,1.37,85.37,0.56,6.25,7.88,6.72,0,0,1,20,572903.6641,1,False,False,False,False,506588.2279
883.15,1.288352805,4,96.79,6.41,6.7,14.19,7.22,94.55,0.67,6.57,10.0,6.19,0,1,1,10,300867.4928,1,True,False,False,False,414412.5618
986.38,1.0,2,72.66,49.75,9.21,58.57,27.96,97.75,0.27,5.09,4.94,4.24,1,0,1,33,87005.20553,0,False,False,False,True,188525.5716
1646.74,1.724571339,3,359.69,61.03,6.43,35.46,27.57,88.33,2.17,5.57,3.94,5.51,1,0,1,18,265148.8427,1,True,False,False,False,407908.1051
1236.08,2.961977011,2,766.17,21.04,8.01,47.44,14.17,99.9,1.97,5.55,4.06,4.79,1,0,1,9,245361.4496,1,False,False,True,False,319313.7717
690.56,1.0,1,521.09,57.03,5.88,9.12,33.15,88.82,1.16,4.89,3.91,8.2,0,0,1,11,107858.3022,0,False,True,False,False,138983.7605
1625.02,1.0,5,195.41,44.81,5.56,49.96,5.86,88.85,1.69,1.16,8.09,8.19,0,0,1,20,351389.5403,0,False,False,False,False,263584.8855
1159.83,1.0,2,160.48,9.54,7.89,31.51,26.36,88.55,1.54,6.29,7.24,5.04,0,0,1,9,104320.8981,0,False,False,False,True,152316.5163
